İlan No:,İlan Tarihi:,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,car_link:,price,boya_degisen,aciklama
 16116343   , 05 Şubat 2021   , Renault   , Symbol   , 1.2 Authentique   , 2012   , Benzin   , Düz   , 1149 cc   , 75 hp   , 86.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-renault-symbol-1-2-authentique/sahibinden-renault-symbol-1-2-authentique-2012-model/16116343,  82.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"İlk sahibinden boyasız değişen yok bakımları düzenli olarak yaptırılmıştır. Satma sebebim model yükseltmek. Full orijinal, temiz araç."
 15289775   , 05 Şubat 2021   , Ford   , Focus   , 1.5 TDCi Titanium   , 2018   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 53.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-focus-1-5-tdci-titanium/sahibinden-ford-focus-1-5-tdci-titanium-2018-model/15289775,  239.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,"Boyasız, değişensiz, hatasız, temiz araç,2019 mart ayında 10000 km de Kars Ford bayiden aldım şirket/rent a car çıkışlı değildir,Kışlık lastikler takili olup goodyear markadır, yaklaşık 5000 km civari yol yapılmıştır,Resimde göründüğü üzere plastik sağ ön tamponda ufak çizikler, ön sağ koltukta ufak hafif bir sünme var (delik değil),Aracın garantisi devam etmektedir..."
 16140884   , 05 Şubat 2021   , Fiat   , Palio   , 1.2 Active   , 2005   , Benzin   , Düz   , 1242 cc   , 81 hp   , 276.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-fiat-palio-1-2-active/sahibinden-fiat-palio-1-2-active-2005-model/16140884,  41.500 TL  , Satıcı bu ilan için boya - değişen  bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz.   Tramer tutarı yok   ,"Aracımı tek elden kendim kullanmaktayım . Periyodik bakımları yapılmıştır ekstra olarak detaylı radyatör temizliği ve Balataları ve diskleri değişmiştir, sıcak su hortumu yenilenmiştir.Kliması aktif olarak çalışmaktadır buz gibi yapıyor. Aracım ruhsatta hususi olarak geçmektedir. Ayrıca aracın iç dış ve motor temizliği yapılmıştır. (Yeni teyp ve koltuk kılıfı takılmıştır) Bel altında boya mevcuttur, motor performansı %89 "
 14640908   , 05 Şubat 2021   , Renault   , Symbol   , 1.4 Expression   , 2009   , Benzin   , Düz   , 1390 cc   , 75 hp   , 100.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-renault-symbol-1-4-expression/l/14640908,  90.000 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,Model 2009 orijinal km 100 Bin Değişensiz boyasız muhanesi yeni yapıldı yedek anahtarı var LPG hiç takılmamış 1.4 benzinli alıcısına hayırlı olsun Günlük Aktif Kullanıyorum km Değişebilir 
 15765163   , 05 Şubat 2021   , Ford   , Fiesta   , 1.4 Titanium   , 2012   , Benzin   , Düz   , 1388 cc   , 96 hp   , 108.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-fiesta-1-4-titanium/sahibinden-ford-fiesta-1-4-titanium-2012-model/15765163,  120.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  400 TL  ,"108.000 km
*sag arka camurlukta avuc ici kadar 400 tl boyadan dolayi tramer cikiyor.
*Dyno test %95
*kislik lastik yeni alindi 4 mevsim lastik %85 verilecektir.
*95.000 km de triger, baski balata degisimi dahil tum agir bakimlari 10.10.2020 de yapilmistir.
*muayene si yeni yapildi.
*aracta hicbir masraf yoktur.
*titanyum x opsiyonu olarak extra hava yastigi eklenmistir.
*orjinal isik pakettir.
*otomatik karararn dikiz.
*hiz sabitleme.
*otomatik kapanan yan ayna.
*follow me.
*satis nedeni model yukseltmek.
*kapali garajda muhafazadir"
 16140967   , 05 Şubat 2021   , Ford   , Focus   , 1.5 TDCi Titanium   , 2017   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 27.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-focus-1-5-tdci-titanium/sahibinden-ford-focus-1-5-tdci-titanium-2017-model/16140967,  265.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,Öğretmenden Focus.Aracım 2017 model 2018 Mayıs 16 da trafiğe çıktı.24 Kasım 2020 de ilk muayenesi yapıldı yılda bir servis bakımları yaptırılmıştır.Eksik olarak yazacak bişey bulamadım plaka açıktır sorgulayabilir istediğiniz yerde expertise gösterebilirsiniz 
 16116520   , 05 Şubat 2021   , Skoda   , Octavia   , 1.6 TDI Ambiente   , 2010   , Dizel   , Düz   , 1598 cc   , 105 hp   , 193.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-skoda-octavia-1-6-tdi-ambiente/sahibinden-skoda-octavia-1-6-tdi-ambiente-2010-model/16116520,  116.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Motor Kaputu:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"Arac 3 senedir bende Herhangi bir sıkıntısı yok dizel manuel.Lastikler,aküsü,disk balata yeniBakımları zamanında eksiksiz bir şekilde yapılıyorKm si uzun yolda yapılmış yorulmamiş yıpranmamış tertmiz bir arabaSadece bir parca boya var kabut oda herhangi bir kazadan degil ufak bir dokunmadan önemsiz bin (1000) tl hasar kaydı var.Camda ufak bir taş izi marşbiyelde sürtmeden kaynaklı ezik,şoför kapısında ufak bir iz,arka tamponda soyulmalar var resimlerde dikkatli bakarsanız belli olur.YEDEK ANAHTARI ve Kitapcığı varTAKAS Otomatik araçlarla değerlendirilirMsj atarsanız dönüş yaparım...4 adet yazlık4 adet kışlık iyi durumda lastikleri vardir Ekspertiz raporu var alan kişide istediği yere yaptirabilir"
 15592264   , 05 Şubat 2021   , Volvo   , V40   , 1.5 T3 Inscription   , 2017   , Benzin   , Otomatik   , 1498 cc   , 152 hp   , 11.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-volvo-v40-1-5-t3-inscription/hatasiz-tramersiz-dusuk-kmli-servis-bakimli/15592264,  328.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"Kazası, değişeni, boyası, trameri yok.Sadece 11.000 km de. Tüm bakımları yetkili serviste yapılmıştır ( faturaları mevcuttur.)Sıfırdan farksız!12.09.2022 ye kadar muayenesi geçerlidir. 4 adet Semperit Speed Grip 3 marka kışlık lastik ve orjinal paspasları araçla birlikte verilecektir. Üzerinde Volvo'dan alınan orjinal kauçuk paspaslar bulunmaktadır. Evimizin 2. arabasıdır.- Ön arka park sensörü- Isıtmalı ön koltuklar- Otomatik park asistanı- Bej deri döşeme- Panoramik Cam Tavan- Hayalet gösterge- Hafızalı / Elektrikli sürücü koltuğu - Yağmur sensörü- Işık sensörü- Full Led farlar (uzun+kısa)- Far yıkama - Kendiliğinden kararan iç dikiz aynası- Cruise control ( Hız sabitleyici)- Speed Limit (Hız sınırlayıcı)- City Safe (çarpışma önleme asistanı)- Start & Stop- Temalı iç aydınlatma (8 renk)- Çift bölgeli dijital klima- Elektrikli ısıtmalı katlanır yan aynalar- Yokuş kalkış desteği- Fonksiyonel çift renk deri direksiyon- Işıklı vites topuzu ve daha bir çok özellik...."
 15574771   , 05 Şubat 2021   , Renault   , Fluence   , 1.5 dCi Joy   , 2014   , Dizel   , Yarı Otomatik   , 1461 cc   , 110 hp   , 143.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-renault-fluence-1-5-dci-joy/sahibinden-renault-fluence-1-5-dci-joy-2014-model/15574771,  135.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sol Arka Çamurluk:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  1.290 TL  ,TEMIZ MEMURDAN AİLE ARABASI
 15964720   , 05 Şubat 2021   , Mercedes - Benz   , E   , 200 Elegance   , 1997   , LPG & Benzin   , Otomatik   , 1998 cc   , 136 hp   , 282.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-mercedes-benz-e-200-elegance/gercek-manada-temiz-aile-araci-sahibinden-mercedes-benz-e-200-elegance-1997-model-calismayan-hic-b/15964720,  130.000 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,Bu km bu temizlik de bulmak zor. tüm fonksyonlar çalışır durumda aktif kullanılan araçtır km azda olsa değişiklik gösterebilir güneş yanığından komple boyalı kasa dirii çizik göçük yok alt takım sanziman motor mekanik sorunsuz piyasadaki dökük araçlarla bir tutulamaz mesajlara bakmıyorum ilgilenenler arayarak iletişime geçebilirsiniz 
 15277835   , 05 Şubat 2021   , Opel   , Vectra   , 2.2 DTI Elegance   , 2001   , Dizel   , Düz   , 2001 - 2500 cm3   , 101 - 125 HP   , 324.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-opel-vectra-2-2-dti-elegance/sahibinden-opel-vectra-2-2-dti-elegance-2001-model/15277835,  55.000 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,Aracım temiz ve bakımlı olup kilimalıdır. Turbo dizeldir. Ecotec motor olup 2172 silindir hacme sahiptir.Şehir içi 45-50 kuruş arası yakmaktadır.Ufak tefek seslerden bile rahatsız olduğumuz için ön sağ ve sol akslarını sıfır alarak yeni değiştirdim. 124 beygirdir. fotolardada görüleceği üzere titiz kullanılıyordur. 2001 model olup 320 bindedir. pazarlık sünnettir. alıcısına hayırlı olsun.
 16137383   , 05 Şubat 2021   , Mercedes - Benz   , B   , B 150 Prestige   , 2007   , LPG & Benzin   , Otomatik   , 1498 cc   , 95 hp   , 224.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-mercedes-benz-b-150-prestige/sahibinden-mercedes-b-150-prestige-2007-lpg-ll/16137383,  114.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Boyanmış  Arka Kaput:  Boyanmış  Sol Arka Çamurluk:  Boyanmış  Sağ Arka Kapı:  Boyanmış  Sağ Ön Kapı:  Boyanmış  Tavan:  Boyanmış  Sol Arka Kapı:  Boyanmış  Sol Ön Kapı:  Boyanmış  Sağ Ön Çamurluk:  Boyanmış  Motor Kaputu:  Boyanmış  Sol Ön Çamurluk:  Boyanmış  Ön Tampon:  Boyanmış  Arka Tampon:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  24.000 TL  ,"Aracımın tüm ağır bakımları yenidir.yag bakımları yenidir.antfriz bakımları yenidir.3 adet park halinde carpmalardan dolayı parça parça 24000 hasar kaydı AĞIR YADA  PERT DEĞİLDİR..7 ileri ctv şanzıman dir .motoru ve şanzumanı saat gibidir..aracımın sağ arka kapı sacı degisik sol arka çamurluk ta işlem vardir..saselerde,podyolarda,kulelerde şase uclarinda en küçük işlem yoktur..yag kaçağı ve eksiltmesi,şu kaçağı yoktur..aracımın tavanını ben balkon altına sürttugum için boyattım fotoğraf lari mevcuttur..4 lastik sıfırdır ...alan arkadaşıma hayırlı olmasını dilerim.."
 15188685   , 05 Şubat 2021   , Opel   , Corsa   , 1.4 GLS   , 1999   , LPG & Benzin   , Düz   , 1389 cc   , 90 hp   , 250.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-opel-corsa-1-4-gls/klimali-opel-corsa-1-4-gls-1999-model/15188685,  42.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Lokal Boyanmış  Sağ Ön Kapı:  Lokal Boyanmış  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Lokal Boyanmış  Motor Kaputu:  Değişmiş  Sol Ön Çamurluk:  Değişmiş  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Öncelikle sedan araç almak için satıyorum...! Piyasanın içinde anca bu fiyat. 1999 model opel corsa 1.4 motor 16v GLS PAKET KLİMALI kliması aktif çalışıyor 250 bin km de sol ön çamurluk birde kaput değişik solmasından dolayı tavana karbon çektim ön kaput da da solma var yaşı gereği 2 parçada avuç içi kadar lokal boya 2 parçada yarım boya var hidrolik direksiyon ön iki cam otomatik hava yastığı mevcut   Aynı araçlarla kıyaslayıp fiyat alın sonra yazıp arayın.Resimlerde gerekli açıklamalar mevcuttur. Fiyatı çok bulanlar lütfen gidip Broadway Tofaş Şahin Doğan falan baksın.Şimdiden teşekkür ederim...
 16010961   , 05 Şubat 2021   , Opel   , Corsa   , 1.2 Essentia   , 2008   , Benzin   , Düz   , 1229 cc   , 80 hp   , 168.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-opel-corsa-1-2-essentia/sahibinden-opel-corsa-1-2-essentia-2008-model/16010961,  86.750 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Kapı:  Boyanmış  Sağ Ön Kapı:  Lokal Boyanmış  Sol Ön Çamurluk:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,Araçda üç parça boya harici baska birseyi yoktur american park uzun kısa olarak led zenon led sisler. Arka tampon eki ön cam dahil film vardır usülünce pazarlık olur
 14319097   , 05 Şubat 2021   , Fiat   , Egea   , 1.6 Multijet Lounge   , 2015   , Dizel   , Düz   , 1598 cc   , 120 hp   , 105.500 km   ,https://www.arabam.com//ilan/sahibinden-satilik-fiat-egea-1-6-multijet-lounge/sahibinden-fiat-egea-1-6-multijet-lounge-2015-model/14319097,  145.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Değişmiş  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  8.070 TL  ,"SON BIR HAFTA BU FIYATA VERILIR Araç en dolu pakettir. Muayenesine 2 yıl vardır.SADECE BİLDİĞİM ÖZELLİKLERİ ve EXTRALARIArabanın triger seti firen balataları ve bakımları yapılmıştır. Alan kişi hiç masraf etmeden mazotunu koyup arkasına bakmasına gerek yoktur.¦Pasta cila koruma ¦Havuzlu paspaslar bagaj dahil¦Arka tampon altı difüzör ¦İstetme sıfır hiç kullanılmamış ¦Lastikler sıfır 4 mevsim yeni takıldı faturası vardır. ¦Koltuk kılıfları yeni takıldı fiyatı 700 TL¦120 Beygir 320 Tork¦6 ileri çekiş kontrol sistemi¦LCD multi medya ekran ¦Navigasyon Bluetooth¦Elektirikli bel desteği yüksek ayarı ¦Ön Arka kol dayama¦Otomatik kararan dikiz aynası ¦Sis farları¦Deri direksiyon Direksiyon kumandalı ¦Park sensörü geri görüş kamerası ¦Far sensörü¦Yağmur sensörü¦Lastik basınç sensörü¦Hız sabitleme sınırlama ¦Yokuş kalkış destek sistemi¦6 adet hava yastığı ¦Motor kilitleme sistemi¦Uzaktan kumandalı merkezi kilit¦ABS  BAS  EBD¦Krom bagaj çıtası, kapı kolları, önpanjur, pencere çıtaları Sağ ön çamurluk değişim sol masbiyel lokal boya vardır.  8070 kayıt vardır. "
 15794801   , 05 Şubat 2021   , Fiat   , Linea   , 1.3 Multijet Emotion Plus   , 2010   , Dizel   , Düz   , 1248 cc   , 90 hp   , 232.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-fiat-linea-1-3-multijet-emotion-plus/sahibinden-fiat-linea-1-3-multijet-emotion-plus-2010-model/15794801,  78.000 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,ARACIMIZ DOLU MODELDİRTEKNİK ÖZELLİKLER﻿* 17 İnç lansman jantı*DİJİTAL KLİMA*4 CAM OTOMATİK*YOL BİLGİSAYARI*YAĞMUR SENSÖRÜ*PARK SENSÖRÜ*FAR SENSÖRÜ*Elektrikli Bel desteği*SİS FARI*ABS-ESP-AIRBAG*FONKSİYONEL DİREKSİYON*CD ÇALAR-RADİO*ELEKTRİKLİ ISITMALİ DİKİZ AYNALARI*İÇ KARARTMALI DİKİZ AYNASI*ELEKTRİKLİ BEL DESTEĞİ*ISOFİx*KOL DAYAMALINGUATRONİC BİLGİ SİSTEMİ*ARKA CAM PERDE*BLUE & ME MÜZİK SİSTEMİBLUME ÖZELLİĞİ BLUTEOOTH TELEFON BAĞLANTISIORJINAL USB BAĞLANTISIYEDEK ANAHTARI VE KİTAPÇIKLARI VARDIRYAZILIM MEVCUT OLUPVIZE YENİ YAPILMISTIRFEREN BALATALARI AKÜ VE GENEL BAKIM YENİ YAPILDI değişen yoktur taş atığı nedeniyle ön kaput yarim boyalidir aldığımda bunlar mevcuttu plaka açık sorgulama yapa bilirsiniz 5327758480 numaradan ulasa bilirsiniz
 16131700   , 05 Şubat 2021   , Ford   , Focus   , 1.5 TDCi Titanium   , 2016   , Dizel   , Yarı Otomatik   , 1499 cc   , 120 hp   , 76.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-focus-1-5-tdci-titanium/sahibinden-hatasiz-boyasiz-tramersiz-f1-otomatik-2016-76000-kilometrede/16131700,  229.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Araçta hata boya tramer değişen kesinlikle olmayıp istediğiniz yere gösterebilirsiniz dokunmatik ekran F1 otomatik şanzıman otomatik park sanruf hariç Ful+Ful  bir araçtır dediğim hariçi bir şey çıkarsa masraflarınız tarafımca ödenecektir alıcısına şimdiden hayırlı uğurlu olsun...
 16081219   , 05 Şubat 2021   , Ford   , Focus   , 1.6 TDCi Ghia   , 2005   , Dizel   , Düz   , 1560 cc   , 110 hp   , 271.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-focus-1-6-tdci-ghia/sahibinden-ford-focus-1-6-tdci-ghia-2005-model/16081219,  82.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sol Arka Çamurluk:  Boyanmış  Sol Arka Kapı:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,İlk sahibinden kazasız değişensin yalnızca sol arka çamurluk ve sol arka kapıda boya var park halinde sürtme kaynaklı araç en Ful paket olup 110 luk dizel tutulan motor dur aracın bütün bakımları zamanında ve orjinal parçaları ile değişmiştir hiçbir masrafı kesinlikle yoktur lastikler ve jantlar da 20 ay önce yenilendi ( mişhelin )aracın içerisi de hatasızdır tel 0532 294 66 07 
 16139566   , 05 Şubat 2021   , Opel   , Corsa   , 1.4 GLS   , 2000   , LPG & Benzin   , Otomatik   , 1389 cc   , 90 hp   , 257.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-opel-corsa-1-4-gls/sahibinden-opel-corsa-1-4-gls-2000-model/16139566,  49.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Kapı:  Lokal Boyanmış  Sağ Ön Kapı:  Lokal Boyanmış  Sol Arka Kapı:  Lokal Boyanmış  Sol Ön Kapı:  Lokal Boyanmış  Sağ Ön Çamurluk:  Değişmiş  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Temiz aile aracıdır bakımları yeni yapılmıştırSadece sağ çamurluk değişmiştir Sağ ön farın çevresi boyalıdır 
 16084280   , 05 Şubat 2021   , Volkswagen   , Golf   , 1.6 TDi Trendline   , 2012   , Dizel   , Düz   , 1598 cc   , 105 hp   , 211.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-volkswagen-golf-1-6-tdi-trendline/sahibinden-volkswagen-golf-1-6-tdi-trendline-2012-model/16084280,  113.900 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Kapı:  Lokal Boyanmış  Sağ Ön Kapı:  Lokal Boyanmış  Sağ Ön Çamurluk:  Değişmiş  Motor Kaputu:  Değişmiş  Sol Ön Çamurluk:  Değişmiş  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  9.600 TL  ,Aracın ilk sahiibi ben değilim yaklaşık 1 bucuk 2 senedir bende Beni hiç bir zaman yarı yolda bırakmadı aracımda çelik jant ve lastikler sıfırdır aracın ağırbakkmları trigeri seti devir daim yeni değişmiştir tüm ağır bakımları tarafımca yapılmıştır aracımda çıt dahi ses yoktur en güzel özelliği uzun kısa yolda motorun sesi içeride degıldır dizel olmsına rağmen aracımın km 211 de olupMotorunda yürüründe hiçbir şey yoktur %90ın üstünde cıkacaktır aracda sagsol camurluk ve kaput değişen olup boyalıdır ve lokal boyolar mevcuttur buna bağlı olarak 9600 hasar kaydı vardırbu bende olmadı ben aldığımda böyle idi bnde kaza bela olmadı şükürler olsun aracın ekstraları da vardır pasta cilası boya koruması çizik gidericidi hareve waxı yenidir düzenlil plarak yapılmaktadır aklınıza takılanı arayıp sorabilirsiniz satma amacım model yukseltmek yada ev almak Teşekkürler
 16140553   , 05 Şubat 2021   , Honda   , Civic   , 1.6 i-VTEC ECO Elegance   , 2015   , LPG & Benzin   , Otomatik   , 1598 cc   , 125 hp   , 77.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-honda-civic-1-6-i-vtec-eco-elegance/acil-satilik-honda-civic-1-6-i-vtec-eco-elegance-2015-model/16140553,  193.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Aracım 2015 model Honda Civic Eco Elegance Fabrikasyon BRC Tüplüdür. Aracımın hatası boyası değişeni trameri yoktur. Tamponlarına kadar boyasızdır. Ezik göçük herhangi bir şey yoktur. Fabrikasyon double ekran mevcuttur. Body kit mevcuttur. Lastikleri yenidir. Pazarlık payı vardır. 
